Product,Year,Quarter,Value,ProcessedTimestamp,filename
Crude Oil & NGLs,2011,1st quarter,8276.96,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2011,2nd quarter,7335.91,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2011,3rd quarter,5968.44,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2011,4th quarter,8135.08,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2012,1st quarter,7595.11,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2012,2nd quarter,7739.52,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2012,3rd quarter,6792.28,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2012,4th quarter,7699.4,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2013,1st quarter,8289.61,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2013,2nd quarter,8287.02,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2013,3rd quarter,7028.12,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2013,4th quarter,8064.92,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2014,1st quarter,7780.47,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2014,2nd quarter,7164.18,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2014,3rd quarter,6633.57,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2014,4th quarter,8231.12,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2015,1st quarter,7611.76,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2015,2nd quarter,8846.27,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2015,3rd quarter,7278.66,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2015,4th quarter,8083.13,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2016,1st quarter,9459.82,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2016,2nd quarter,7543.5,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2016,3rd quarter,7930.83,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2016,4th quarter,8312.42,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2017,1st quarter,9470.19,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2017,2nd quarter,9366.91,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2017,3rd quarter,9194.89,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2017,4th quarter,8830.75,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2018,1st quarter,10625.92,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2018,2nd quarter,10900.93,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2018,3rd quarter,9666.29,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2018,4th quarter,11388.98,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2019,1st quarter,10860.25,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
Crude Oil & NGLs,2019,2nd quarter,11462.9,2024-04-04 17:18:50,ET_3.1_MAR_24.xlsx
